<ID|readonly|noverify>;<Chinese>;<max_chars>;;;;;;;;;;;;;;;;;;;
re_2001_cb_shop;Re.2001CB\t“猎\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
re_2001_cb_0;里\t贾\t内 Re.2001 战\t斗\t轰\t炸\t型\t“猎\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
re_2001_cb_1;Re.2001CB;;;;;;;;;;;;;;;;;;;;
re_2001_cb_2;Re.2001;;;;;;;;;;;;;;;;;;;;
re_2001_cn_shop;Re.2001CN\t“猎\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
re_2001_cn_0;里\t贾\t内 Re.2001 夜\t间\t战\t斗\t型\t“猎\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
re_2001_cn_1;Re.2001CN;;;;;;;;;;;;;;;;;;;;
re_2001_cn_2;Re.2001;;;;;;;;;;;;;;;;;;;;
re_2002_early_shop;Re.2002\t“白\t羊\t座”\t早\t期\t型;;;;;;;;;;;;;;;;;;;;
re_2002_early_0;里\t贾\t内 Re.2002\t“白\t羊\t座”\t早\t期\t型;;;;;;;;;;;;;;;;;;;;
re_2002_early_1;Re.2002;;;;;;;;;;;;;;;;;;;;
re_2002_early_2;Re.2002;;;;;;;;;;;;;;;;;;;;
re_2005_serie0_shop;Re.2005\t“射\t手\t座”\t（0 批\t次）;;;;;;;;;;;;;;;;;;;;
re_2005_serie0_0;里\t贾\t内 Re.2005\t“射\t手\t座”\t（0 批\t次）;;;;;;;;;;;;;;;;;;;;
re_2005_serie0_1;Re.2005;;;;;;;;;;;;;;;;;;;;
re_2005_serie0_2;Re.2005;;;;;;;;;;;;;;;;;;;;
sm_91_shop;SM.91;;;;;;;;;;;;;;;;;;;;
sm_91_0;萨\t伏\t伊\t-\t马\t尔\t凯\t蒂 SM.91;;;;;;;;;;;;;;;;;;;;
sm_91_1;SM.91;;;;;;;;;;;;;;;;;;;;
sm_91_2;SM.91;;;;;;;;;;;;;;;;;;;;
sm_92_shop;SM.92;;;;;;;;;;;;;;;;;;;;
sm_92_0;萨\t伏\t伊\t-\t马\t尔\t凯\t蒂 SM.92;;;;;;;;;;;;;;;;;;;;
sm_92_1;SM.92;;;;;;;;;;;;;;;;;;;;
sm_92_2;SM.92;;;;;;;;;;;;;;;;;;;;
sagittario_2_shop;“射\t手\t座”\t2;;;;;;;;;;;;;;;;;;;;
sagittario_2_0;阿\t尔\t弗\t “射\t手\t座”\t2;;;;;;;;;;;;;;;;;;;;
sagittario_2_1;“射\t手\t座”\t2;;;;;;;;;;;;;;;;;;;;
sagittario_2_2;“射\t手\t座”\t2;;;;;;;;;;;;;;;;;;;;
ariete_shop;“白\t羊\t座”;;;;;;;;;;;;;;;;;;;;
ariete_0;阿\t尔\t弗\t “白\t羊\t座”;;;;;;;;;;;;;;;;;;;;
ariete_1;“白\t羊\t座”;;;;;;;;;;;;;;;;;;;;
ariete_2;“白\t羊\t座”;;;;;;;;;;;;;;;;;;;;
shop/group/cr_32_group;CR.32;;;;;;;;;;;;;;;;;;;;
shop/group/fiat_g50_italy_group;G.50\t“箭”;;;;;;;;;;;;;;;;;;;;
shop/group/mc_200_italy_group;C.200\t“闪\t电”;;;;;;;;;;;;;;;;;;;;
shop/group/sm_79_italy_group;SM.79\t“食\t雀\t鹰”\t早\t期\t型;;;;;;;;;;;;;;;;;;;;
p_108a_serie2_shop;P.108A\t（2 批\t次）;;;;;;;;;;;;;;;;;;;;
p_108a_serie2_0;比\t亚\t乔 P.108 炮\t艇\t型\t（2 批\t次）;;;;;;;;;;;;;;;;;;;;
p_108a_serie2_1;P.108A;;;;;;;;;;;;;;;;;;;;
p_108a_serie2_2;P.108;;;;;;;;;;;;;;;;;;;;
p_108b_serie1_shop;P.108B\t（1 批\t次）;;;;;;;;;;;;;;;;;;;;
p_108b_serie1_0;比\t亚\t乔 P.108 轰\t炸\t型\t（1 批\t次）;;;;;;;;;;;;;;;;;;;;
p_108b_serie1_1;P.108B;;;;;;;;;;;;;;;;;;;;
p_108b_serie1_2;P.108;;;;;;;;;;;;;;;;;;;;
p_108b_serie2_shop;P.108B\t（2 批\t次）;;;;;;;;;;;;;;;;;;;;
p_108b_serie2_0;比\t亚\t乔 P.108 轰\t炸\t型\t（2 批\t次）;;;;;;;;;;;;;;;;;;;;
p_108b_serie2_1;P.108B;;;;;;;;;;;;;;;;;;;;
p_108b_serie2_2;P.108;;;;;;;;;;;;;;;;;;;;
f-84g_italy_shop;⛨ F-84G-21\t“雷\t电\t喷\t气”;;;;;;;;;;;;;;;;;;;;
f-84g_italy_0;⛨ 共\t和 F-84G-21-RE\t“雷\t电\t喷\t气”;;;;;;;;;;;;;;;;;;;;
f-84g_italy_1;⛨ F-84G;;;;;;;;;;;;;;;;;;;;
f-84g_italy_2;⛨ F-84;;;;;;;;;;;;;;;;;;;;
f-84f_italy_shop;⛨ F-84F-66\t“雷\t光”;;;;;;;;;;;;;;;;;;;;
f-84f_italy_0;⛨ 共\t和 F-84F-66-RE\t“雷\t光”;;;;;;;;;;;;;;;;;;;;
f-84f_italy_1;⛨ F-84F;;;;;;;;;;;;;;;;;;;;
f-84f_italy_2;⛨ F-84F;;;;;;;;;;;;;;;;;;;;
f-84f_shop;F-84F-50\t“雷\t光”;;;;;;;;;;;;;;;;;;;;
f-84f_0;共\t和 F-84F-50-RE\t“雷\t光”;;;;;;;;;;;;;;;;;;;;
f-84f_1;F-84F;;;;;;;;;;;;;;;;;;;;
f-84f_2;F-84F;;;;;;;;;;;;;;;;;;;;
f-84g_shop;F-84G-21\t“雷\t电\t喷\t气”;;;;;;;;;;;;;;;;;;;;
f-84g_0;共\t和 F-84G-21-RE\t“雷\t电\t喷\t气”;;;;;;;;;;;;;;;;;;;;
f-84g_1;F-84G;;;;;;;;;;;;;;;;;;;;
f-84g_2;F-84;;;;;;;;;;;;;;;;;;;;
f-84g_china_shop;␗\tF-84G-21\t“雷\t电\t喷\t气”;;;;;;;;;;;;;;;;;;;;
f-84g_china_0;␗\t共\t和 F-84G-21-RE\t“雷\t电\t喷\t气”;;;;;;;;;;;;;;;;;;;;
f-84g_china_1;␗\tF-84G;;;;;;;;;;;;;;;;;;;;
f-84g_china_2;␗\tF-84G;;;;;;;;;;;;;;;;;;;;
f-84g-31-re_china_shop;␗\tF-84G-31\t“雷\t电\t喷\t气”;;;;;;;;;;;;;;;;;;;;
f-84g-31-re_china_0;␗\t共\t和 F-84G-31-RE\t“雷\t电\t喷\t气”;;;;;;;;;;;;;;;;;;;;
f-84g-31-re_china_1;␗\tF-84G;;;;;;;;;;;;;;;;;;;;
f-84g-31-re_china_2;␗\tF-84G;;;;;;;;;;;;;;;;;;;;
f-84g_thailand_shop;▅\tB.Kh.16;;;;;;;;;;;;;;;;;;;;
f-84g_thailand_0;▅\t共\t和 B.Kh.16;;;;;;;;;;;;;;;;;;;;
f-84g_thailand_1;▅\tB.Kh.16;;;;;;;;;;;;;;;;;;;;
f-84g_thailand_2;▅\tF-84G;;;;;;;;;;;;;;;;;;;;
g_56_shop;G.56\t“半\t人\t马\t座”;;;;;;;;;;;;;;;;;;;;
g_56_0;菲\t亚\t特 G.56\t“半\t人\t马\t座”;;;;;;;;;;;;;;;;;;;;
g_56_1;G.56;;;;;;;;;;;;;;;;;;;;
g_56_2;G.56;;;;;;;;;;;;;;;;;;;;
ba_65_k14_l_shop;Ba.65 K.14/L;;;;;;;;;;;;;;;;;;;;
ba_65_k14_l_0;布\t雷\t达 Ba.65 K.14/L;;;;;;;;;;;;;;;;;;;;
ba_65_k14_l_1;Ba.65 K.14/L;;;;;;;;;;;;;;;;;;;;
ba_65_k14_l_2;Ba.65;;;;;;;;;;;;;;;;;;;;
mc-205_serie3_shop;C.205\t“灰\t狗”\t（3 批\t次）;;;;;;;;;;;;;;;;;;;;
mc-205_serie3_0;马\t基 C.205\t“灰\t狗”\t（3 批\t次）;;;;;;;;;;;;;;;;;;;;
mc-205_serie3_1;C.205;;;;;;;;;;;;;;;;;;;;
mc-205_serie3_2;C.205;;;;;;;;;;;;;;;;;;;;
mc-205_serie1_shop;C.205\t“灰\t狗”\t（1 批\t次）;;;;;;;;;;;;;;;;;;;;
mc-205_serie1_0;马\t基 C.205\t“灰\t狗”\t（1 批\t次）;;;;;;;;;;;;;;;;;;;;
mc-205_serie1_1;C.205;;;;;;;;;;;;;;;;;;;;
mc-205_serie1_2;C.205;;;;;;;;;;;;;;;;;;;;
mc-205_n2_shop;C.205N-2\t“猎\t户\t座”;;;;;;;;;;;;;;;;;;;;
mc-205_n2_0;马\t基 C.205N-2\t“猎\t户\t座”;;;;;;;;;;;;;;;;;;;;
mc-205_n2_1;C.205N;;;;;;;;;;;;;;;;;;;;
mc-205_n2_2;C.205;;;;;;;;;;;;;;;;;;;;
shop/group/mc_205_group;C.205\t“灰\t狗”;;;;;;;;;;;;;;;;;;;;
bf-109g-14as_shop;⛨ Bf 109 G-14/AS;;;;;;;;;;;;;;;;;;;;
bf-109g-14as_0;⛨ 梅\t塞\t施\t密\t特 Bf 109 G-14/AS;;;;;;;;;;;;;;;;;;;;
bf-109g-14as_1;⛨ Bf 109 G;;;;;;;;;;;;;;;;;;;;
bf-109g-14as_2;⛨ Bf 109;;;;;;;;;;;;;;;;;;;;
p-51h-5_na_shop;P-51H-10\t“野\t马”;;;;;;;;;;;;;;;;;;;;
p-51h-5_na_0;北\t美 P-51H-10-NA\t“野\t马”;;;;;;;;;;;;;;;;;;;;
p-51h-5_na_1;P-51H;;;;;;;;;;;;;;;;;;;;
p-51h-5_na_2;P-51;;;;;;;;;;;;;;;;;;;;
ki_109_shop;Ki-109;;;;;;;;;;;;;;;;;;;;
ki_109_0;三\t菱 Ki-109;;;;;;;;;;;;;;;;;;;;
ki_109_1;Ki-109;;;;;;;;;;;;;;;;;;;;
ki_109_2;Ki-109;;;;;;;;;;;;;;;;;;;;
corsair_fmk2_shop;▄\t“海\t盗”\tF Mk II;;;;;;;;;;;;;;;;;;;;
corsair_fmk2_0;▄\t沃\t特\t “海\t盗”\tF Mk II;;;;;;;;;;;;;;;;;;;;
corsair_fmk2_1;▄\t“海\t盗”\tF Mk II;;;;;;;;;;;;;;;;;;;;
corsair_fmk2_2;▄\t“海\t盗”;;;;;;;;;;;;;;;;;;;;
d4y1_shop;彗\t星\t一\t一\t型;;;;;;;;;;;;;;;;;;;;
d4y1_0;横\t须\t贺 D4Y1 彗\t星\t一\t一\t型;;;;;;;;;;;;;;;;;;;;
d4y1_1;彗\t星\t一\t一\t型;;;;;;;;;;;;;;;;;;;;
d4y1_2;彗\t星;;;;;;;;;;;;;;;;;;;;
d4y2_shop;彗\t星\t一\t二\t型;;;;;;;;;;;;;;;;;;;;
d4y2_0;横\t须\t贺 D4Y2 彗\t星\t一\t二\t型;;;;;;;;;;;;;;;;;;;;
d4y2_1;彗\t星\t一\t二\t型;;;;;;;;;;;;;;;;;;;;
d4y2_2;彗\t星;;;;;;;;;;;;;;;;;;;;
d4y3_shop;彗\t星\t三\t三\t型;;;;;;;;;;;;;;;;;;;;
d4y3_0;横\t须\t贺 D4Y3 彗\t星\t三\t三\t型;;;;;;;;;;;;;;;;;;;;
d4y3_1;彗\t星\t三\t三\t型;;;;;;;;;;;;;;;;;;;;
d4y3_2;彗\t星;;;;;;;;;;;;;;;;;;;;
shop/group/d4y_group;彗\t星;;;;;;;;;;;;;;;;;;;;
xa_38_shop;XA-38\t“灰\t熊”;;;;;;;;;;;;;;;;;;;;
xa_38_0;比\t奇 XA-38\t“灰\t熊”;;;;;;;;;;;;;;;;;;;;
xa_38_1;XA-38;;;;;;;;;;;;;;;;;;;;
xa_38_2;XA-38;;;;;;;;;;;;;;;;;;;;
germ_bmp_1_ddr_shop;▀\tBMP-1;;;;;;;;;;;;;;;;;;;;
germ_bmp_1_ddr_0;▀\tBMP-1;;;;;;;;;;;;;;;;;;;;
germ_bmp_1_ddr_1;▀\tBMP-1;;;;;;;;;;;;;;;;;;;;
germ_bmp_1_ddr_2;轻\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
ussr_bmp_1_shop;BMP-1;;;;;;;;;;;;;;;;;;;;
ussr_bmp_1_0;BMP-1;;;;;;;;;;;;;;;;;;;;
ussr_bmp_1_1;BMP-1;;;;;;;;;;;;;;;;;;;;
ussr_bmp_1_2;轻\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
ussr_m53_59_shop;▂\tPLdvK vz. 53/59;;;;;;;;;;;;;;;;;;;;
ussr_m53_59_0;▂\t布\t拉\t格 PLdvK vz. 53/59;;;;;;;;;;;;;;;;;;;;
ussr_m53_59_1;▂\tPLdvK vz. 53/59;;;;;;;;;;;;;;;;;;;;
ussr_m53_59_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_btr_80a_shop;BTR-80A;;;;;;;;;;;;;;;;;;;;
ussr_btr_80a_0;BTR-80A;;;;;;;;;;;;;;;;;;;;
ussr_btr_80a_1;BTR-80A;;;;;;;;;;;;;;;;;;;;
ussr_btr_80a_2;轻\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
ussr_btr_zd_shop;BTR-ZD\t“锉\t刀”;;;;;;;;;;;;;;;;;;;;
ussr_btr_zd_0;BTR-ZD\t“锉\t刀”;;;;;;;;;;;;;;;;;;;;
ussr_btr_zd_1;BTR-ZD\t“锉\t刀”;;;;;;;;;;;;;;;;;;;;
ussr_btr_zd_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_btr_152d_shop;BTR-152D;;;;;;;;;;;;;;;;;;;;
ussr_btr_152d_0;BTR-152D;;;;;;;;;;;;;;;;;;;;
ussr_btr_152d_1;BTR-152D;;;;;;;;;;;;;;;;;;;;
ussr_btr_152d_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
ussr_btr_152a_shop;BTR-152A;;;;;;;;;;;;;;;;;;;;
ussr_btr_152a_0;BTR-152A;;;;;;;;;;;;;;;;;;;;
ussr_btr_152a_1;BTR-152A;;;;;;;;;;;;;;;;;;;;
ussr_btr_152a_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
uk_daimler_mk_2_shop;戴\t姆\t勒\t装\t甲\t车 Mk II;;;;;;;;;;;;;;;;;;;;
uk_daimler_mk_2_0;戴\t姆\t勒\t装\t甲\t车 Mk II;;;;;;;;;;;;;;;;;;;;
uk_daimler_mk_2_1;戴\t姆\t勒\t装\t甲\t车 Mk II;;;;;;;;;;;;;;;;;;;;
uk_daimler_mk_2_2;轻\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_vsw_flak_41_shop;88 毫\t米 FlaK 41 试\t验\t防\t空\t车;;;;;;;;;;;;;;;;;;;;
germ_vsw_flak_41_0;IVc 型\t装\t甲\t自\t行\t底\t盘 88 毫\t米 FlaK 41;;;;;;;;;;;;;;;;;;;;
germ_vsw_flak_41_1;88 毫\t米 FlaK 41 试\t验\t防\t空\t车;;;;;;;;;;;;;;;;;;;;
germ_vsw_flak_41_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
germ_waffentrager_krupp_steyr_shop;克\t虏\t伯\t-\t斯\t太\t尔\t武\t器\t运\t载\t车;;;;;;;;;;;;;;;;;;;;
germ_waffentrager_krupp_steyr_0;克\t虏\t伯\t-\t斯\t太\t尔\t武\t器\t运\t载\t车;;;;;;;;;;;;;;;;;;;;
germ_waffentrager_krupp_steyr_1;克\t虏\t伯\t-\t斯\t太\t尔\t武\t器\t运\t载\t车;;;;;;;;;;;;;;;;;;;;
germ_waffentrager_krupp_steyr_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
us_mbt_70_shop;MBT-70;;;;;;;;;;;;;;;;;;;;
us_mbt_70_0;152 毫\t米\t火\t炮\t/\t导\t弹\t发\t射\t器\t主\t战\t坦\t克 70 型;;;;;;;;;;;;;;;;;;;;
us_mbt_70_1;MBT-70;;;;;;;;;;;;;;;;;;;;
us_mbt_70_2;主\t战\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_kpz_70_shop;KPz 70;;;;;;;;;;;;;;;;;;;;
germ_kpz_70_0;70 式\t战\t斗\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_kpz_70_1;KPz 70;;;;;;;;;;;;;;;;;;;;
germ_kpz_70_2;主\t战\t坦\t克;;;;;;;;;;;;;;;;;;;;
germ_kpz_t72m1_shop;▀\tT-72M1;;;;;;;;;;;;;;;;;;;;
germ_kpz_t72m1_0;▀\tT-72M1;;;;;;;;;;;;;;;;;;;;
germ_kpz_t72m1_1;▀\tT-72M1;;;;;;;;;;;;;;;;;;;;
germ_kpz_t72m1_2;主\t战\t坦\t克;;;;;;;;;;;;;;;;;;;;
us_t114_shop;T114 (BAT);;;;;;;;;;;;;;;;;;;;
us_t114_0;履\t带\t式\t装\t甲\t指\t挥\t侦\t查\t运\t载\t车 T114\t（营\t级\t反\t坦\t克\t指\t挥\t侦\t查\t车）;;;;;;;;;;;;;;;;;;;;
us_t114_1;T114 (BAT);;;;;;;;;;;;;;;;;;;;
us_t114_2;轻\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
us_m50_ontos_shop;M50\t“盎\t图\t斯”;;;;;;;;;;;;;;;;;;;;
us_m50_ontos_0;106 毫\t米\t自\t行\t多\t管\t无\t后\t坐\t力\t炮 M50;;;;;;;;;;;;;;;;;;;;
us_m50_ontos_1;M50\t“盎\t图\t斯”;;;;;;;;;;;;;;;;;;;;
us_m50_ontos_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
us_m60a1_rise_passive_era_shop;M60A1 RISE (P);;;;;;;;;;;;;;;;;;;;
us_m60a1_rise_passive_era_0;105 毫\t米\t火\t炮\t履\t带\t式\t战\t斗\t坦\t克 M60A1 RISE\t（特\t定\t装\t备\t可\t靠\t性\t改\t进）\t（被\t动\t式\t夜\t视\t仪）;;;;;;;;;;;;;;;;;;;;
us_m60a1_rise_passive_era_1;M60A1 RISE (P);;;;;;;;;;;;;;;;;;;;
us_m60a1_rise_passive_era_2;主\t战\t坦\t克;;;;;;;;;;;;;;;;;;;;
ussr_t_64a_1971_shop;Т\t-64\tА 1971 型;;;;;;;;;;;;;;;;;;;;
ussr_t_64a_1971_0;Т\t-64\tА 1971 型;;;;;;;;;;;;;;;;;;;;
ussr_t_64a_1971_1;Т\t-64\tА;;;;;;;;;;;;;;;;;;;;
ussr_t_64a_1971_2;主\t战\t坦\t克;;;;;;;;;;;;;;;;;;;;
it_btr_80a_hungary_shop;◐ BTR-80A;;;;;;;;;;;;;;;;;;;;
it_btr_80a_hungary_0;◐ BTR-80A;;;;;;;;;;;;;;;;;;;;
it_btr_80a_hungary_1;◐ BTR-80A;;;;;;;;;;;;;;;;;;;;
it_btr_80a_hungary_2;轻\t型\t坦\t克;;;;;;;;;;;;;;;;;;;;
it_t_72m1_shop;◐ T-72M1;;;;;;;;;;;;;;;;;;;;
it_t_72m1_0;◐ T-72M1;;;;;;;;;;;;;;;;;;;;
it_t_72m1_1;◐ T-72M1;;;;;;;;;;;;;;;;;;;;
it_t_72m1_2;主\t战\t坦\t克;;;;;;;;;;;;;;;;;;;;
it_zsu_57_2_shop;◐ ZSU-57-2;;;;;;;;;;;;;;;;;;;;
it_zsu_57_2_0;◐ ZSU-57-2;;;;;;;;;;;;;;;;;;;;
it_zsu_57_2_1;◐ ZSU-57-2;;;;;;;;;;;;;;;;;;;;
it_zsu_57_2_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
it_zsu_23_4_shop;◐ ZSU-23-4V\t“石\t勒\t喀”;;;;;;;;;;;;;;;;;;;;
it_zsu_23_4_0;◐ ZSU-23-4V\t“石\t勒\t喀”;;;;;;;;;;;;;;;;;;;;
it_zsu_23_4_1;◐ ZSU-23-4V;;;;;;;;;;;;;;;;;;;;
it_zsu_23_4_2;自\t行\t防\t空\t炮;;;;;;;;;;;;;;;;;;;;
it_2s1_shop;◐ 2S1\t“康\t乃\t馨”;;;;;;;;;;;;;;;;;;;;
it_2s1_0;◐ 2S1\t“康\t乃\t馨”;;;;;;;;;;;;;;;;;;;;
it_2s1_1;◐ 2S1\t“康\t乃\t馨”;;;;;;;;;;;;;;;;;;;;
it_2s1_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
ussr_2s1_shop;2S1\t“康\t乃\t馨”;;;;;;;;;;;;;;;;;;;;
ussr_2s1_0;2S1\t“康\t乃\t馨”;;;;;;;;;;;;;;;;;;;;
ussr_2s1_1;2S1\t“康\t乃\t馨”;;;;;;;;;;;;;;;;;;;;
ussr_2s1_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
ussr_2s3m_shop;2S3M\t“金\t合\t欢”;;;;;;;;;;;;;;;;;;;;
ussr_2s3m_0;2S3M\t“金\t合\t欢”;;;;;;;;;;;;;;;;;;;;
ussr_2s3m_1;2S3M\t“金\t合\t欢”;;;;;;;;;;;;;;;;;;;;
ussr_2s3m_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
ussr_su_100p_shop;SU-100P;;;;;;;;;;;;;;;;;;;;
ussr_su_100p_0;SU-100P\t（105 工\t程）;;;;;;;;;;;;;;;;;;;;
ussr_su_100p_1;SU-100P;;;;;;;;;;;;;;;;;;;;
ussr_su_100p_2;自\t行\t火\t炮;;;;;;;;;;;;;;;;;;;;
a-35b_shop;☨ A-35B;;;;;;;;;;;;;;;;;;;;
a-35b_0;☨ 伏\t尔\t提 A-35B;;;;;;;;;;;;;;;;;;;;
a-35b_1;☨ A-35B;;;;;;;;;;;;;;;;;;;;
a-35b_2;☨ A-35B;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_shop;SO.4050\t“秃\t鹰”\tIIA;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_0;SNCASO SO.4050\t“秃\t鹰”\tIIA;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_1;SO.4050\t“秃\t鹰”\tIIA;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_2;SO.4050\t“秃\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_shop;SO.4050\t“秃\t鹰”\tIIN;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_0;SNCASO  SO.4050\t“秃\t鹰”\tIIN;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_1;SO.4050\t“秃\t鹰”\tIIN;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_2;SO.4050\t“秃\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_iaf_shop;☨ “秃\t鹰”\tIIA\t（以\t色\t列）;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_iaf_0;☨ SNCASO \t “秃\t鹰”\tIIA\t（以\t色\t列\t空\t军）;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_iaf_1;☨ “秃\t鹰”\tIIA;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_iaf_2;☨ “秃\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_late_shop;SO.4050\t“秃\t鹰”\tIIN 后\t期\t型;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_late_0;SNCASO SO.4050\t“秃\t鹰”\tIIN 后\t期\t型;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_late_1;SO.4050\t“秃\t鹰”\tIIN 后\t期\t型;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_late_2;SO.4050\t“秃\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_israel_iaf_shop;\t“秃\t鹰”\tIIA;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_israel_iaf_0;\tSNCASO\t “秃\t鹰”\tIIA;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_israel_iaf_1;\t“秃\t鹰”\tIIA;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2a_israel_iaf_2;\t“秃\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_iaf_shop;\t“秃\t鹰”\tIIN;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_iaf_0;\tSNCASO “秃\t鹰”\tIIN;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_iaf_1;\t“秃\t鹰”\tIIN;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2n_iaf_2;\t“秃\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
f-84f_iaf_shop;☨ F-84F-51\t“雷\t光”\t（以\t色\t列）;;;;;;;;;;;;;;;;;;;;
f-84f_iaf_0;☨ 共\t和 F-84F-51-GK\t“雷\t光”\t（以\t色\t列\t空\t军）;;;;;;;;;;;;;;;;;;;;
f-84f_iaf_1;☨ F-84F;;;;;;;;;;;;;;;;;;;;
f-84f_iaf_2;☨ F-84F;;;;;;;;;;;;;;;;;;;;
f-84f_israel_iaf_shop;\tF-84F-51\t“雷\t光”;;;;;;;;;;;;;;;;;;;;
f-84f_israel_iaf_0;\t共\t和 F-84F-51-GK\t“雷\t光”;;;;;;;;;;;;;;;;;;;;
f-84f_israel_iaf_1;\tF-84F;;;;;;;;;;;;;;;;;;;;
f-84f_israel_iaf_2;\tF-84F;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2b_shop;SO.4050\t“秃\t鹰”\tIIB;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2b_0;SNCASO SO.4050\t“秃\t鹰”\tIIB;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2b_1;SO.4050\t“秃\t鹰”\tIIB;;;;;;;;;;;;;;;;;;;;
so_4050_vautour_2b_2;SO.4050\t“秃\t鹰”\tII;;;;;;;;;;;;;;;;;;;;
d_520_france_shop;D.520;;;;;;;;;;;;;;;;;;;;
d_520_france_0;德\t瓦\t蒂\t纳 D.520;;;;;;;;;;;;;;;;;;;;
d_520_france_1;D.520;;;;;;;;;;;;;;;;;;;;
d_520_france_2;D.520;;;;;;;;;;;;;;;;;;;;
p-63c-5_france_shop;☨ P-63C-5\t“眼\t镜\t王\t蛇”;;;;;;;;;;;;;;;;;;;;
p-63c-5_france_0;☨ 贝\t尔 P-63C-5-BE\t“眼\t镜\t王\t蛇”;;;;;;;;;;;;;;;;;;;;
p-63c-5_france_1;☨ P-63C;;;;;;;;;;;;;;;;;;;;
p-63c-5_france_2;☨ P-63;;;;;;;;;;;;;;;;;;;;
douglas_ad_4_france_shop;☨ AD-4\t“天\t袭\t者”;;;;;;;;;;;;;;;;;;;;
douglas_ad_4_france_0;☨ 道\t格\t拉\t斯 AD-4\t“天\t袭\t者”;;;;;;;;;;;;;;;;;;;;
douglas_ad_4_france_1;☨ AD-4;;;;;;;;;;;;;;;;;;;;
douglas_ad_4_france_2;☨ AD-4;;;;;;;;;;;;;;;;;;;;
douglas_ad_4na_france_shop;☨ AD-4NA\t“天\t袭\t者”;;;;;;;;;;;;;;;;;;;;
douglas_ad_4na_france_0;☨ 道\t格\t拉\t斯 AD-4NA\t“天\t袭\t者”;;;;;;;;;;;;;;;;;;;;
douglas_ad_4na_france_1;☨ AD-4NA;;;;;;;;;;;;;;;;;;;;
douglas_ad_4na_france_2;☨ AD-4;;;;;;;;;;;;;;;;;;;;
f8f1b_france_shop;☨ F8F-1B\t“熊\t猫”;;;;;;;;;;;;;;;;;;;;
f8f1b_france_0;☨ 格\t鲁\t曼 F8F-1B\t“熊\t猫”;;;;;;;;;;;;;;;;;;;;
f8f1b_france_1;☨ F8F-1;;;;;;;;;;;;;;;;;;;;
f8f1b_france_2;☨ F8F;;;;;;;;;;;;;;;;;;;;
