<ID|readonly|noverify>;<Chinese>
weapons/127mm_MIM_72G_launcher_user_cannon/short;MIM-72
weapons/170mm_57E6_rocket_launcher;95Ya6 地\t对\t空\t导\t弹
weapons/170mm_57E6_rocket_launcher/short;95Ya6
weapons/170mm_57E6/short;95Ya6
170mm_zur_95ya6;95Ya6
weapons/360mm_9m317m_user_cannon;9M317MA 地\t对\t空\t导\t弹
weapons/360mm_9m317m_user_cannon/short;9M317MA
360mm_9m317ma;9M317MA
weapons/380mm_aster_30_user_cannon;“阿\t斯\t特”\t30 地\t对\t空\t导\t弹
weapons/380mm_aster_30_user_cannon/short;“阿\t斯\t特”\t30
380mm_aster_30;“阿\t斯\t特”\t30
weapons/166mm_camm_user_cannon;通\t用\t防\t空\t模\t块\t化\t导\t弹
weapons/166mm_camm_user_cannon/short;CAMM
166mm_camm;CAMM
166mm_camm_er;CAMM-ER
weapons/90mm_atam_mistral_rocket_launcher;“西\t北\t风”\t短\t程\t地\t对\t空\t导\t弹
weapons/90mm_atam_mistral_rocket_launcher/short;“西\t北\t风”\tSATCP
weapons/90mm_atam_mistral_user_cannon;“西\t北\t风”\t短\t程\t地\t对\t空\t导\t弹
weapons/90mm_atam_mistral_user_cannon/short;“西\t北\t风”\tSATCP
atam_mistral;“西\t北\t风”\t短\t程\t地\t对\t空\t导\t弹
weapons/130mm_Rbs_70B_rocket_launcher;RBS 70 地\t对\t空\t导\t弹\t系\t统
weapons/130mm_Rbs_70B_rocket_launcher/short;RBS 70
130mm_rb_70b;Rb 70B
weapons/130mm_Rbs_70_rocket_launcher;RBS 70 地\t对\t空\t导\t弹\t系\t统
weapons/130mm_Rbs_70_rocket_launcher/short;RBS 70
130mm_rb_70;Rb 70
weapons/130mm_9M114_rocket_launcher;9M114\t“蚕\t茧”\t反\t坦\t克\t导\t弹
weapons/130mm_9M114_rocket_launcher/short;9M114\t“蚕\t茧”
weapons/130mm_9m114/short;9M114\t“蚕\t茧”
weapons/130mm_9M120_rocket_launcher;9M120\t“攻\t击”\t反\t坦\t克\t导\t弹
weapons/130mm_9M120_rocket_launcher/short;9M120\t“攻\t击”
weapons/130mm_9m120/short;9M120\t“攻\t击”
weapons/130mm_Starstreak_hvm_rocket_launcher;“星\t光”\t高\t速\t导\t弹
weapons/130mm_Starstreak_hvm_rocket_launcher/short;“星\t光”\tHVM
weapons/70mm_QN201DD_rocket_launcher;QN201 多\t用\t途\t导\t弹
weapons/70mm_QN201DD_rocket_launcher/short;QN201
70mm_QN201DD;QN201
weapons/70mm_QN201DD/short;QN201
weapons/151mm_QN502CDD_rocket_launcher;QN502C 反\t坦\t克\t导\t弹
weapons/151mm_QN502CDD_rocket_launcher/short;QN502C
weapons/151mm_qn502cdd/short;QN502C
151mm_QN502CDD;QN502C
weapons/110mm_Spike_freccia_rocket_launchr_user_cannon;“长\t钉”\t-LR2 反\t坦\t克\t导\t弹
weapons/110mm_Spike_freccia_rocket_launchr_user_cannon/short;“长\t钉”\t-LR2
weapons/110mm_Spike_kf_41_rocket_launchr_user_cannon;“长\t钉”\t-LR2 反\t坦\t克\t导\t弹
weapons/110mm_Spike_kf_41_rocket_launchr_user_cannon/short;“长\t钉”\t-LR2
weapons/110mm_mells_rocket_launchr_user_cannon;“长\t钉”\t-LR2 反\t坦\t克\t导\t弹
weapons/110mm_mells_rocket_launchr_user_cannon/short;“长\t钉”\t-LR2
weapons/110mm_spike_lr2/short;“长\t钉”\t-LR2
110mm_spike_mr;“长\t钉”\t-MR
weapons/110mm_spike_mr/short;“长\t钉”\t-MR
110mm_spike_lr2;“长\t钉”\t-LR2
152mm_9m133fm_3;9M133FM-3\t“短\t号”
weapons/152mm_9m133fm_3/short;9M133FM-3\t“短\t号”
152mm_9m133;9M133\t“短\t号”
weapons/152mm_9m133/short;9M133\t“短\t号”
152mm_9m123;9M123\t“菊\t花”
weapons/152mm_9m123/short;9M123\t“菊\t花”
152mm_9m123f;9M123F\t“菊\t花”
weapons/152mm_9m123f/short;9M123F\t“菊\t花”
130mm_starstreak_hvm;“星\t光”
136mm_k3s_hot;“霍\t特”
150mm_k3s_hot_2;“霍\t特”\t2
130mm_9m114;9M114\t“蚕\t茧”
130mm_9m120;9M120\t“攻\t击”
130mm_9m120f_1;9M120F-1\t“攻\t击”
weapons/130mm_9m120f_1/short;9M120F-1\t“攻\t击”
130mm_9m220o;9M220O\t“攻\t击”
152mm_3c1;3S1
weapons/152mm_3c1/short;3S1
weapons/130mm_9m220o/short;9M220O
152mm_mim14;MIM-146
180mm_3m7;3M7\t“龙”
120mm_9m37m;9M37M
weapons/120mm_9m37m/short;9M37M
152mm_zur_9m311;9M311
152mm_zur_9m311_1m;9M311-1M
164mm_robot_52;Rb 52
164mm_lfk_ss_11;SS.11
164mm_lfk_ss_11b;SS.11B
250kg_tt;TT-250
152mm_wgr_41;Wgr.41 Spr.
152mm_rp_3;RP-3
114mm_m8;M8
82mm_m_8;M-8
120mm_type64;64 式
weapons/120mm_type64/short;64 式
weapons/uk_25lb_ap_mk1;AP Mk I 火\t箭\t弹
weapons/uk_25lb_ap_mk1_1;AP Mk I 火\t箭\t弹
weapons/uk_25lb_ap_mk1_1/short;AP Mk I
weapons/uk_25lb_ap_mk1_2;AP Mk I 火\t箭\t弹
weapons/uk_25lb_ap_mk1_3;AP Mk I 火\t箭\t弹
weapons/uk_25lb_ap_mk1_4a;AP Mk I 火\t箭\t弹
weapons/uk_25lb_ap_mk1_4b;AP Mk I 火\t箭\t弹
weapons/uk_25lb_ap_mk2;AP Mk II 火\t箭\t弹
weapons/uk_25lb_ap_mk2_late/short;AP Mk II
weapons/uk_25lb_ap_mk2_late;AP Mk II 火\t箭\t弹
weapons/uk_25lb_ap_mk2_2;AP Mk II 火\t箭\t弹
weapons/uk_25lb_ap_mk2_3;AP Mk II 火\t箭\t弹
weapons/uk_25lb_ap_mk2_4a;AP Mk II 火\t箭\t弹
weapons/uk_25lb_ap_mk2_4b;AP Mk II 火\t箭\t弹
weapons/uk_25lb_ap_mk1/short;AP Mk I
weapons/uk_25lb_ap_mk1_2/short;AP Mk I
weapons/uk_25lb_ap_mk1_3/short;AP Mk I
weapons/uk_25lb_ap_mk1_4a/short;AP Mk I
weapons/uk_25lb_ap_mk1_4b/short;AP Mk I
weapons/uk_25lb_ap_mk2/short;AP Mk II
weapons/uk_25lb_ap_mk2_2/short;AP Mk II
weapons/uk_25lb_ap_mk2_3/short;AP Mk II
weapons/uk_25lb_ap_mk2_4a/short;AP Mk II
weapons/uk_25lb_ap_mk2_4b/short;AP Mk II
105mm_t13;T13
weapons/uk_25lb_ap_mk1_4a_default;AP Mk I 火\t箭\t弹
weapons/uk_25lb_ap_mk1_4a_default/short;AP Mk I
weapons/115mm_U5TS_user_cannon;115 毫\t米 U-5TS 坦\t克\t炮
weapons/100mm_2A48_user_cannon;100 毫\t米 2A48 坦\t克\t炮
weapons/37mm_2A11_user_cannon;37 毫\t米 2А11 机\t关\t炮
weapons/125mm_KBA_3_user_cannon;125 毫\t米 KBA-3 坦\t克\t炮
weapons/7_62mm_KT_user_machinegun;7.62 毫\t米 KT-7.62 机\t枪
weapons/12_7mm_KT_user_cannon;12.7 毫\t米 KT-12.7 机\t枪
weapons/125mm_2A75_user_cannon;125 毫\t米 2A75 反\t坦\t克\t炮
weapons/125mm_2A75_M_user_cannon;125 毫\t米 2A75-1 反\t坦\t克\t炮
weapons/5_8mm_QJT_user_machinegun;5.8 毫\t米 QJT 机\t枪
weapons/14_5mm_QJG02_user_machinegun;14.5 毫\t米 QJG02 机\t枪
weapons/125mm_ZPT_98_user_cannon;125 毫\t米 ZPT98 式\t坦\t克\t炮
weapons/125mm_Type_99A_user_cannon;125 毫\t米 ZPT98 式 50 倍\t径\t坦\t克\t炮
weapons/125mm_l54_cn_user_cannon;125 毫\t米 54 倍\t径\t试\t验\t坦\t克\t炮
115mm_3bk_4;3BK4
115mm_3bm4;3BM4
115mm_3of_11;3OF11
115mm_3bm3;3BM3
weapons/150mm_sIG_33_user_cannon;150 毫\t米 sIG 33 L/11 重\t型\t步\t兵\t炮
weapons/150mm_StuH_43_user_cannon;150 毫\t米 StuH 43 L/12 突\t击\t榴\t弹\t炮
150mm_jgr_38;I.Gr. 38
150mm_jgr_39;I.Gr. 39 HI/A
37mm_mgr_18;M.Gr. 18
weapons/105mm_M68_M60A1_user_cannon;105 毫\t米 M68 坦\t克\t炮
105mm_m728;M728
weapons/35mm_Oerlikon_KDE_user_cannon;35 毫\t米\t厄\t利\t孔 KDE 机\t关\t炮
weapons/35mm_Oerlikon_us_xm246_user_cannon;35 毫\t米\t厄\t利\t孔 KDA 机\t关\t炮
weapons/35mm_Oerlikon_KDA_marksman_user_cannon;35 毫\t米\t厄\t利\t孔 KDA 机\t关\t炮
weapons/35mm_Oerlikon_KDA_user_cannon;35 毫\t米\t厄\t利\t孔 KDA 机\t关\t炮
35_228mm_he_i_t;DM11A1
35_228mm_he_i_t_belt;DM11A1
35_228mm_apds_t;DM23
35_228mm_apds_t_belt;DM23
35_228mm_aphe_i;DM13
weapons/20mm_Fucile_Controcarri_S_user_cannon;20 毫\t米 S 39 型\t反\t坦\t克\t步\t枪
weapons/20mm_Breda_20_65_M35_user_cannon;20 毫\t米\t布\t雷\t达 35 型\t机\t关\t炮
weapons/20mm_Scotti_Isotta_20_70_M41_user_cannon;20 毫\t米\t/70 斯\t科\t蒂\t-\t伊\t索\t塔\t-\t弗\t拉\t斯\t基\t尼 1941 型\t防\t空\t炮
weapons/20mm_Breda_M35_L6_user_cannon;20 毫\t米\t布\t雷\t达 35 型\t机\t关\t炮
weapons/7_62mm_Beretta_MG42_59_user_machinegun;7.62 毫\t米\t贝\t雷\t塔 MG42/59 机\t枪
weapons/7_62mm_Beretta_MG42_59_600_user_machinegun;7.62 毫\t米\t贝\t雷\t塔 MG42/59 机\t枪
20mm_granata_m35;35 型\t榴\t弹
20mm_perforante_m35;35 型\t穿\t甲\t弹
20mm_perforante_m35_belt;35 型\t穿\t甲\t弹
weapons/8mm_Breda_Mod37_user_machinegun;8 毫\t米\t布\t雷\t达 38 型\t机\t枪
weapons/125mm_2A46M_user_cannon;125 毫\t米 2A46M 坦\t克\t炮
weapons/105mm_M68_Magach_user_cannon;105 毫\t米 M68 坦\t克\t炮
weapons/105mm_M_51_user_cannon;105 毫\t米 D.1508 坦\t克\t炮
weapons/105mm_L7_Shot_user_cannon;105 毫\t米\t“沙\t里\t尔”\t坦\t克\t炮
105mm_imi_m156;M156
105mm_imi_m152;M152
weapons/37mm_Vickers_Terni_37_40_M18_user_cannon;37 毫\t米\t/40 维\t克\t斯\t-\t特\t尔\t尼 18 型\t坦\t克\t炮
37mm_perforante;穿\t甲\t榴\t弹
weapons/20mm_Oerlikon_KAD_B17_user_cannon;20 毫\t米\t厄\t利\t孔 KAD 机\t关\t炮
20mm_Oerlikon_AP/name;AP
20mm_Oerlikon_HE/name;HE
15mm_ger_he/name;HE
15mm_ger_ap/name;AP
15mm_ger_apcr/name;APCR
20mm_m594;M594
20mm_m599;M599
20mm_m601;M601
weapons/25mm_Oerlikon_KBA_Dardo_user_cannon;25 毫\t米\t厄\t利\t孔 KBA-B02 机\t关\t炮
weapons/25mm_Oerlikon_KBA_Freccia_user_cannon;25 毫\t米\t厄\t利\t孔 KBA-B02 机\t关\t炮
weapons/25mm_Oerlikon_KBA_user_cannon;25 毫\t米\t厄\t利\t孔 KBA 机\t关\t炮
weapons/25mm_cn25_m811_user_cannon;25 毫\t米 GIAT M811 机\t关\t炮
weapons/25mm_LW25_user_cannon;25 毫\t米 LW25 机\t关\t炮
weapons/20mm_m139_user_cannon;20 毫\t米 M139 机\t关\t炮
weapons/25mm_M242_user_cannon;25 毫\t米 M242 机\t关\t炮
weapons/25mm_M242_desert_warrior_user_cannon;25 毫\t米 M242 机\t关\t炮
weapons/25mm_M242_HR_user_cannon;25 毫\t米 M242 机\t关\t炮
25mm_m792;M792
25mm_m791;M791
76mm_m464;M464
weapons/76mm_M32K1_user_cannon;76 毫\t米 M32K1 坦\t克\t炮
weapons/155mm_Bkan_user_cannon;155 毫\t米 m/60 火\t炮
155mm_sgr_m60;m/60 榴\t弹
weapons/60mm_OTO_HVG_user_cannon;60 毫\t米\t奥\t托\t高\t速\t中\t型\t支\t援\t坦\t克\t炮
weapons/60mm_OTO_HVG_Hitfist_user_cannon;60 毫\t米\t奥\t托\t高\t速\t中\t型\t支\t援\t坦\t克\t炮
60mm_m300;M300
60mm_oto_he;榴\t弹
60mm_oto_he_vt;榴\t弹\t（近\t炸\t引\t信）
weapons/120mm_OTO_Melara_120_45_MGS_user_cannon;120 毫\t米\t/45 奥\t托-梅\t莱\t拉\t反\t坦\t克\t炮
weapons/105mm_L7A3_Radpanzer_user_cannon;105 毫\t米 L7A3 坦\t克\t炮
weapons/105mm_OTO_Melara_user_cannon;105 毫\t米\t/52 奥\t托-梅\t莱\t拉\t坦\t克\t炮
weapons/105mm_OTO_Melara_Mk_2_user_cannon;105 毫\t米\t/52 奥\t托-梅\t莱\t拉\t坦\t克\t炮
weapons/105mm_OTO_Melara_ROMOR_user_cannon;105 毫\t米\t/52 奥\t托-梅\t莱\t拉\t反\t坦\t克\t炮
weapons/105mm_105_55_OTO_Melara_user_cannon;105 毫\t米\t/55 奥\t托-梅\t莱\t拉\t坦\t克\t炮
weapons/76mm_OTO_Breda_76_62_user_cannon;76 毫\t米\t/62 奥\t托-布\t雷\t达\t速\t射\t舰\t炮
76mm_he_mom;奥\t托\t多\t用\t途\t弹
76mm_he_mom_vt;奥\t托\t多\t用\t途\t弹\t（近\t炸\t引\t信）
76mm_sapom_sap;奥\t托\t半\t穿\t甲\t弹
76mm_oto_apfsds;尾\t翼\t稳\t定\t脱\t壳\t穿\t甲\t弹
weapons/75mm_OTO_75_43_M40_user_cannon;75 毫\t米\t/43 奥\t托 40 型\t反\t坦\t克\t炮
gr_perforante_mod_39;39 型\t穿\t甲\t榴\t弹
granata_mod_34;34 型\t榴\t弹
weapons/75mm_Ansaldo_75_34_M39_user_cannon;75 毫\t米\t/34 安\t萨\t尔\t多 39 型\t反\t坦\t克\t炮
weapons/75mm_Ansaldo_75_18_M34_user_cannon;75 毫\t米\t/18 安\t萨\t尔\t多 34 型\t反\t坦\t克\t炮
75mm_gr_perforante_75;穿\t甲\t榴\t弹
75mm_m32;32 型\t榴\t弹
75mm_gr_perforante_75_32;32 型\t穿\t甲\t榴\t弹
75mm_m42_eps;E.P.S. 42 型
75mm_eps_m42;E.P.S. 42 型
75mm_gr_fumogena;烟\t雾\t弹
weapons/75mm_Ansaldo_75_32_M37_user_cannon;75 毫\t米\t/32 安\t萨\t尔\t多 37 型\t反\t坦\t克\t炮
weapons/47mm_Ansaldo_47_32_M35_user_cannon;47 毫\t米\t/32 安\t萨\t尔\t多 35 型\t坦\t克\t炮
weapons/47mm_Ansaldo_47_32_M39_user_cannon;47 毫\t米\t/32 安\t萨\t尔\t多 39 型\t反\t坦\t克\t炮
47mm_m35_he;35 型\t榴\t弹
47mm_m35_ap;35 型\t穿\t甲\t榴\t弹
47mm_m39_apc;39 型\t穿\t甲\t榴\t弹
weapons/47mm_Ansaldo_47_40_M38_user_cannon;47 毫\t米\t/40 安\t萨\t尔\t多 38 型\t坦\t克\t炮
weapons/90mm_90_53_mod41_user_cannon;90 毫\t米\t/53 安\t萨\t尔\t多 41 型\t反\t坦\t克\t炮
90mm_gr_90;榴\t弹
90mm_gr_perforante;穿\t甲\t榴\t弹
90mm_gr_perforante_m43;43 型\t穿\t甲\t榴\t弹
90mm_gr_ca;36R 型\t防\t空\t爆\t破\t榴\t弹
weapons/106mm_106_SR_user_cannon;106 毫\t米 M40A1 无\t后\t坐\t力\t炮
weapons/106mm_M40A1_LGS_user_cannon;106 毫\t米 M40A1 无\t后\t坐\t力\t炮
weapons/105mm_type_75_user_cannon;105 毫\t米 1975 年\t式\t无\t后\t坐\t力\t炮
105mm_type_75_heat;1975 年\t式\t通\t用\t破\t甲\t弹
105mm_type_75_hesh;1975 年\t式\t碎\t甲\t弹
weapons/12_7mm_type_77_user_machinegun;12.7 毫\t米 1977 年\t式\t机\t枪
weapons/20mm_MK_20_1_user_cannon;20 毫\t米\t伊\t斯\t帕\t诺\t-\t絮\t扎 HS.820 机\t炮
weapons/90mm_Cockerill_Mk_3_user_cannon;90 毫\t米\t科\t克\t里\t尔 Mk 3 坦\t克\t炮
90mm_m625a1;M625A1
90mm_m652a1;M652A1
90mm_m620a1;M620A1
90mm_m618a1;M618A1
weapons/100mm_Mod_1914_100_17_user_cannon;100 毫\t米\t/17 1914 型\t榴\t弹\t炮
100mm_gr_mod32;32 型\t榴\t弹
100mm_gr_mod914;14 型\t榴\t弹
100mm_ep;E.P.
weapons/105mm_Ansaldo_105_25_user_cannon;105 毫\t米\t/25 安\t萨\t尔\t多\t榴\t弹\t炮
105mm_gr_perforante;穿\t甲\t榴\t弹
105mm_ep_m43;E.P. 43 型
weapons/20mm_M168_user_cannon;20 毫\t米 M168 机\t关\t炮
20mm_m52a1;API
20mm_m53;API
20mm_m56a3;HEI
20mm_m242a1;HEI
20mm_m246a1;HEI-T
weapons/47mm_OQF_3pdr_user_cannon;47 毫\t米 QF 3 磅\t炮
47mm_aphe;HE Mk I
weapons/88mm_Flak37_user_cannon;88 毫\t米 FlaK 37 高\t射\t炮
88mm_pzgr;PzGr.
weapons/12_7mm_DShK_GAZ_user_machinegun;12.7 毫\t米\t德\t什\t卡\t机\t枪
weapons/23mm_2A7_user_cannon;23 毫\t米 AZP-23 机\t关\t炮
weapons/23mm_2A14_user_cannon;23 毫\t米 ZU-23 机\t关\t炮
23mm_apit;3UBR1
23mm_heit;3UOR3
23mm_hei;3UOF7
20mm_shvak_api;API
20mm_shvak_apit;API-T
20mm_shvak_frag;FI
20mm_shvak_frag_t;FI-T
30mm_vog_30;VOG-30
weapons/30mm_AG_30_user_cannon;30 毫\t米 AG-30 自\t动\t榴\t弹\t发\t射\t器
weapons/152mm_9M133_launcher_user_cannon;9M133\t“短\t号”\t反\t坦\t克\t导\t弹
weapons/152mm_9M123_launcher_user_cannon;9M123\t“菊\t花”\t反\t坦\t克\t导\t弹
weapons/120mm_9m37m_rocket_launcher;9M37M 地\t对\t空\t导\t弹
weapons/120mm_9m37m_rocket_launcher/short;9M37M
weapons/152mm_9M311_1M_rocket_launcher;9M311-1M 地\t对\t空\t导\t弹
weapons/152mm_9M311_1M_rocket_launcher/short;9M311-1M
weapons/152mm_9M311_rocket_launcher;9M311 地\t对\t空\t导\t弹
weapons/152mm_9M311_rocket_launcher/short;9M311
weapons/152mm_9M311/short;9M311
weapons/152mm_zur_9m311_1m/short;9M311-1M
weapons/170mm_bae_swingfire_rocket_launcher;“旋\t火”\t反\t坦\t克\t导\t弹
weapons/170mm_bae_swingfire_rocket_launcher/short;“旋\t火”
weapons/170mm_bae_swingfire/short;“旋\t火”
weapons/170mm_bae_swingfire_fv102_rocket_launcher;“旋\t火”\t反\t坦\t克\t导\t弹
weapons/170mm_bae_swingfire_fv102_rocket_launcher/short;“旋\t火”
170mm_bae_swingfire;“旋\t火”
weapons/90mm_M54_user_cannon;90 毫\t米 M54 坦\t克\t炮
weapons/cannonMG15120_turret;20 毫\t米 MG 151/20 机\t炮
weapons/57mm_43_6pdr_7cwt_qf_mk2a_naval_user_cannon;57 毫\t米 QF 6 磅 7 英\t担 Mk IIA 舰\t炮
weapons/37mm_83_skc30_naval_user_cannon;37 毫\t米 SK C/30 防\t空\t炮
weapons/85mm_55_zis_s53_naval_user_cannon;85 毫\t米 ZiS-S-53 坦\t克\t炮
weapons/7_7mm_mg_lewis_naval_user_machinegun;7.7 毫\t米\t刘\t易\t斯 Mk III 机\t枪
weapons/7_7mm_mg_lewis_user_machinegun;7.7 毫\t米\t刘\t易\t斯 Mk I 机\t枪
45mm_br_240_ap;BR-240
weapons/127mm_5in_mk50_naval_rocket_launcher;127 毫\t米 Mk 7 火\t箭\t炮
weapons/127mm_5in_mk50_naval_rocket_launcher/short;Mk 7
weapons/cannonType88;75 毫\t米\t八\t八\t式\t七\t厘\t高\t射\t炮
weapons/76mm_40_type_88_naval_user_cannon;76 毫\t米\t四\t十\t口\t径\t三\t年\t式\t八\t厘\t高\t角\t炮
weapons/76mm_40_type_88_aa_naval_user_cannon;76 毫\t米\t四\t十\t口\t径\t三\t年\t式\t八\t厘\t高\t角\t炮
76mm_type0_navy_he;零\t式\t通\t常\t弹
76mm_type0_navy_he_dist_fuse;零\t式\t通\t常\t弹\t（时\t限\t信\t管）
weapons/cannonBredaModel39;37 毫\t米\t/54 布\t雷\t达 39 型\t机\t炮
weapons/cannonBredaModel39/short;布\t雷\t达 39 型
weapons/cannonGIAT_type_30_M781;30 毫\t米 GIAT M781 机\t炮
weapons/cannonGIAT_type_30_M781/short;GIAT M781
weapons/cannonDEFA541;30 毫\t米 DEFA 541 机\t炮
weapons/cannonDEFA551;30 毫\t米 DEFA 551 机\t炮
weapons/cannonDEFA552;30 毫\t米 DEFA 552 机\t炮
weapons/cannonDEFA552A;30 毫\t米 DEFA 552A 机\t炮
weapons/cannonDEFA552A_switzerland;30 毫\t米 Flz Kan 65 机\t炮
weapons/cannonDEFA552A_switzerland/short;Flz Kan 65
weapons/cannonDEFA553;30 毫\t米 DEFA 553 机\t炮
weapons/cannonDEFA553_gunpod;30 毫\t米 DEFA 553 机\t炮
weapons/cannonDEFA553_gunpod/short;DEFA 553
weapons/cannonDEFA554;30 毫\t米 DEFA 554 机\t炮
weapons/cannonDEFA554/short;DEFA 554
weapons/cannonDEFA554_gunpod;30 毫\t米 DEFA 554 机\t炮
weapons/cannonDEFA554_gunpod/short;DEFA 554
weapons/cannonM50;20 毫\t米 M50 机\t炮
weapons/gunMle33;7.5 毫\t米\t达\t尔\t内 Mle 1933 机\t枪
weapons/gunMle33_turret;7.5 毫\t米\t达\t尔\t内 Mle 1933 机\t枪
weapons/depth_charge_mk_9_mortar;Mark 9 深\t水\t炸\t弹\t（“K 炮”\t抛\t射）
weapons/depth_charge_mk_9_mortar/short;Mark 9
weapons/depth_charge_mk_9;Mark 9 深\t水\t炸\t弹
weapons/depth_charge_mk_9/short;Mark 9
weapons/depth_charge_de_wbf;WBF 深\t水\t炸\t弹
weapons/depth_charge_de_wbf/short;WBF
weapons/de_533_g7e_t5a_torpedo;533 毫\t米 G 7e (T Va) 鱼\t雷
weapons/de_533_g7e_t5a_torpedo/short;G 7e
weapons/88mm_56_flak36_naval_user_cannon;88 毫\t米 FlaK 36 防\t空\t炮
weapons/76mm_62_oto_melara_sr_naval_user_cannon;76 毫\t米\t/62 奥\t托-梅\t莱\t拉\t速\t射\t型\t舰\t炮
weapons/76mm_62_oto_melara_compact_naval_user_cannon;76 毫\t米\t/62 奥\t托-梅\t莱\t拉\t紧\t凑\t型\t舰\t炮
weapons/depth_charge_de_wbg;WBG 深\t水\t炸\t弹
76mm_dm261;DM261
76mm_dm251;DM251
76mm_mk29;Mark 29 穿\t甲\t弹
76mm_hc_mk27;Mark 27 高\t爆\t弹
76mm_mk31;Mark 31 近\t炸\t引\t信\t防\t空\t弹
76mm_m78;M78 反\t舰\t弹
weapons/76mm_3_50_mk10_naval_user_cannon;76 毫\t米 3 英\t寸\t/50 Mark 10 防\t空\t炮
weapons/76mm_50cal_mk34_naval_user_cannon;76 毫\t米 3 英\t寸\t/50 Mark 34 防\t空\t炮\t座
weapons/us_450mm_mk7_torpedo;450 毫\t米 18 英\t寸 Mark 7 鱼\t雷\t（湿\t式\t热\t动\t力）
weapons/us_450mm_mk7_torpedo/short;Mark 7
weapons/130mm_M65_user_cannon;130 毫\t米 M-65 坦\t克\t炮
weapons/130mm_C70_user_cannon;130 毫\t米 S-70 坦\t克\t炮
weapons/7_62mm_RP46_user_machinegun;7.62 毫\t米 RP-46 机\t枪
weapons/35mm_PG_99_35_2_user_cannon;35 毫\t米 PG99 式\t双\t管\t高\t射\t炮
35mm_dkp_01a;DKP01A 式\t曳\t光\t穿\t甲\t爆\t破\t燃\t烧\t弹
35mm_dkg_01a;DKG01A 式\t曳\t光\t爆\t破\t燃\t烧\t弹
weapons/105mm_FMK4_Modelo_1L_2IP_user_cannon;105 毫\t米 FMK-4 1L 型\t坦\t克\t炮
weapons/105mm_FMK4_Modelo_1L_2C_user_cannon;105 毫\t米 FMK-4 1L 型\t坦\t克\t炮
weapons/105mm_FMK4_Modelo_1L_user_cannon;105 毫\t米 FMK-4 1L 型\t坦\t克\t炮
weapons/7_62mm_C6_user_machinegun;7.62 毫\t米 C6 通\t用\t机\t枪
weapons/7_62mm_FN_MAG60_40_user_machinegun;7.62 毫\t米 FN MAG 60.40 型\t机\t枪
weapons/7_62mm_FN_MAG60_40_namer_user_machinegun;7.62 毫\t米 FN MAG 60.40 型\t机\t枪
weapons/40mm_L70_Bofors_mk3_user_cannon;40 毫\t米 M266 高\t射\t炮
weapons/20mm_m693_amx_10_user_cannon;20 毫\t米 GIAT М693 F2 型\t机\t关\t炮
weapons/20mm_M_693_marder_clovis_user_cannon;20 毫\t米 GIAT М693 F2 型\t机\t关\t炮
100mm_9m_117;9M117\t“堡\t垒”
100mm_9m_117m1;9M117M1\t“套\t索”
105mm_falaric;“法\t拉\t里\t克”\t105
weapons/105mm_falaric/short;“法\t拉\t里\t克”\t105
weapons/40mm_M266_user_cannon;40 毫\t米 M266 高\t射\t炮
40mm_m811;M811
40mm_m811_fuze_delay;M811\t（延\t时\t引\t信）
40mm_m822;M822
105mm_t298e1;T298E1
105mm_t182e1;T182E1
105mm_t279;T279
105mm_m111;M111
weapons/30mm_L21A1_RARDEN_user_cannon;30 毫\t米 L21A1 机\t关\t炮
weapons/7_62mm_L94A1_user_machinegun;7.62 毫\t米 L94A1 机\t枪
weapons/7_62mm_Mk52_user_machinegun;7.62 毫\t米 Mark 52 机\t枪
weapons/30mm_2A38_user_cannon;30 毫\t米 2A38 机\t关\t炮
weapons/30mm_2A38M_user_cannon;30 毫\t米 2A38M 机\t关\t炮
weapons/30mm_2A38M1_user_cannon;30 毫\t米 2A38M1 机\t关\t炮
weapons/30mm_2A42_user_cannon;30 毫\t米 2A42 机\t关\t炮
weapons/30mm_2a42_md_user_cannon;30 毫\t米 2A42 机\t关\t炮
weapons/30mm_2A72_user_cannon;30 毫\t米 2A72 机\t关\t炮
weapons/30mm_2A72_BTR_user_cannon;30 毫\t米 2A72 机\t关\t炮
30mm_china_API;3UBR6
30mm_china_HE;CS/BAH06
30mm_china_PTFP;CS/BAE5
30mm_UBR6;3UBR6
30mm_UOF8;3UOF8
30mm_UOR6;3UOR6
30mm_3UBR8;3UBR8
30mm_3ubr_11;3UBR11
30mm_he_tf;HE-TF
35mm_pmc343;PMC343
weapons/cannonGI_2;20 毫\t米 GI 2 机\t炮
weapons/cannonM197;20 毫\t米 M197 机\t炮
weapons/cannonM197_external;20 毫\t米 M197 机\t炮
weapons/cannonTM197B;20 毫\t米 TM197B 机\t炮
weapons/gunA_12_7;12.7 毫\t米 A-12.7 机\t枪
weapons/gunYaK_B;12.7 毫\t米 YakB-12.7 机\t枪
weapons/gunYaK_B/short;YakB-12.7
weapons/gunYaK_B_guv;12.7 毫\t米 YakB-12.7 机\t枪
weapons/gunYaK_B_guv/short;YakB-12.7
weapons/gunKord;12.7 毫\t米 Kord 机\t枪
weapons/gunKord/short;Kord
weapons/gun_pkt;7.62 毫\t米 PKT 机\t枪
weapons/gun_pkt/short;PKT
weapons/gun_pk3;7.62 毫\t米 PK 机\t枪
weapons/gun_pk3/short;PK
weapons/gunTkb_481;12.7 毫\t米 TKB-481 机\t枪
weapons/gunTkb_481/short;TKB-481
